user_id       , run_id, weather, map_name, start_x             , start_y            , start_z              , end_x              , end_y              , end_z                  , arousal_start, arousal_end, hr_bpm_start, hr_bpm_end, model_pred_start, model_prob_start, model_pred_end, model_prob_end, emotion_label_start, emotion_prob_start, emotion_label_end, emotion_prob_end, timestamp_start           , timestamp_end             , frame_start, frame_end, sim_time_start    , sim_time_end      , details
participant_01,      1, day    , Town10HD, 71.14108276367188   , 24.754562377929688 , 0.0021572874393314123, 77.09646606445312  , 24.862585067749023 , 0.002098159631714225   ,         0.457,       0.453,           67,         68, None            ,            1.0  , reach_back    ,          1.0  , neutral            ,              0.687, neutral          ,            0.751, 2026-02-10T16:08:12.826753, 2026-02-10T16:08:14.585441,        2927,      2950,  73.6411505676806 ,  74.44615057110786, window_2
participant_01,      1, day    , Town10HD, 82.09074401855469   , 25.060678482055664 , 0.0017201995942741632, 82.09074401855469  , 25.060678482055664 , 0.0017191695515066385  ,         0.464,       0.536,           68,         72, None            ,            1.0  , reach_back    ,          0.977, happy              ,              0.808, angry            ,            0.944, 2026-02-10T16:08:20.031522, 2026-02-10T16:08:22.418348,        3030,      3063,  77.2461505830288 ,  78.40115058794618, window_1
participant_01,      1, day    , Town10HD, 108.14055633544922  , -29.947301864624023, 0.0018619918264448643, 104.02629852294922 , -42.73275375366211 , 0.001871833810582757   ,         0.654,       0.65 ,           72,         69, None            ,            1.0  , reach_back    ,          1.0  , happy              ,              0.688, sad              ,            0.959, 2026-02-10T16:08:40.461400, 2026-02-10T16:08:42.342346,        3317,      3345,  87.29115062579513,  88.27115062996745, window_2
participant_01,      1, day    , Town10HD, 76.83482360839844   , -64.09988403320312 , 0.0019798660650849342, 59.530029296875    , -66.64509582519531 , 0.0019499206682667136  ,         0.685,       0.721,           67,         66, None            ,            1.0  , reach_back    ,          0.874, neutral            ,              0.862, fear             ,            0.94 , 2026-02-10T16:08:47.741972, 2026-02-10T16:08:50.491287,        3419,      3455,  90.86115064099431,  92.12115064635873, window_1
participant_01,      1, day    , Town10HD, -70.3420181274414   , -68.33916473388672 , 0.0020026015117764473, -85.60504913330078 , -65.87804412841797 , 0.0018002318684011698  ,         0.852,       0.854,           66,         66, None            ,            1.0  , reach_back    ,          0.942, neutral            ,              0.955, sad              ,            0.997, 2026-02-10T16:09:09.540408, 2026-02-10T16:09:11.562689,        3723,      3755, 101.50115068629384, 102.62115069106221, window_2
participant_01,      1, day    , Town10HD, -109.77645111083984 , -24.037555694580078, 0.0019301986321806908, -109.85675811767578, -21.927213668823242, 0.002021865686401725   ,         0.765,       0.747,           66,         67, None            ,            1.0  , reach_back    ,          1.0  , sad                ,              0.571, sad              ,            0.569, 2026-02-10T16:09:21.520096, 2026-02-10T16:09:23.975379,        3891,      3922, 107.38115071132779, 108.46615071594715, window_1
participant_01,      1, day    , Town10HD, -111.91263580322266 , 2.7669308185577393 , 0.0016223907005041838, -113.6095199584961 , 13.835407257080078 , 0.0017533873906359076  ,         0.796,       0.835,           67,         66, None            ,            1.0  , reach_back    ,          1.0  , neutral            ,              0.707, fear             ,            0.772, 2026-02-10T16:09:38.561655, 2026-02-10T16:09:40.462553,        4117,      4143, 115.29115074500442, 116.20115074887872, window_2
participant_01,      1, day    , Town10HD, -102.27249145507812 , 117.37840270996094 , 0.001802368089556694 , -89.18260192871094 , 130.64981079101562 , 0.0018965149065479636  ,         0.647,       0.641,           66,         64, None            ,            1.0  , reach_back    ,          0.829, neutral            ,              0.831, surprise         ,            0.851, 2026-02-10T16:09:56.002515, 2026-02-10T16:09:58.797629,        4362,      4401, 123.86615078151226, 125.23115078732371, window_1
participant_01,      1, day    , Town10HD, -32.16805648803711  , 140.152587890625   , 0.0018722915556281805, -18.03097915649414 , 140.04820251464844 , 0.0018856048118323088  ,         0.403,       0.368,           66,         69, None            ,            1.0  , None          ,          1.0  , sad                ,              0.473, fear             ,            0.552, 2026-02-10T16:10:07.682717, 2026-02-10T16:10:09.725813,        4523,      4551, 129.50115080550313, 130.48115080967546, window_2
participant_01,      1, day    , Town10HD, 95.93763732910156   , 124.66773986816406 , 0.001931152306497097 , 104.18144226074219 , 106.92007446289062 , 0.0019814681727439165  ,         0.406,       0.432,           67,         66, None            ,            1.0  , reach_back    ,          0.944, neutral            ,              0.791, neutral          ,            0.928, 2026-02-10T16:10:26.591049, 2026-02-10T16:10:29.628312,        4796,      4837, 139.0561508461833 , 140.49115085229278, window_1
participant_01,      1, day    , Town10HD, 107.00566101074219  , 72.44782257080078  , 0.0017551803030073643, 107.00926208496094 , 71.52448272705078  , 0.0017419814830645919  ,         0.372,       0.382,           72,         67, None            ,            1.0  , reach_back    ,          1.0  , neutral            ,              0.971, sad              ,            0.877, 2026-02-10T16:10:42.321675, 2026-02-10T16:10:44.319357,        5020,      5051, 146.8961508795619 , 147.98115088418126, window_2
participant_01,      1, day    , Town10HD, 105.49636840820312  , 52.57113265991211  , 0.0017198181012645364, 105.13924407958984 , 49.63731384277344  , 0.0015637206379324198  ,         0.529,       0.56 ,           63,         63, None            ,            1.0  , reach_back    ,          0.97 , neutral            ,              0.692, angry            ,            0.934, 2026-02-10T16:11:01.627848, 2026-02-10T16:11:04.007590,        5307,      5344, 156.94115092232823, 158.23615092784166, window_1
participant_01,      1, day    , Town10HD, 96.26329040527344   , 29.7142333984375   , 0.0032391739077866077, 93.10445404052734  , 28.47659683227539  , 0.0018152236007153988  ,         0.553,       0.545,           65,         67, None            ,            1.0  , reach_back    ,          0.903, happy              ,              0.626, sad              ,            0.493, 2026-02-10T16:11:12.103836, 2026-02-10T16:11:13.714903,        5462,      5485, 162.36615094542503, 163.1711509488523 , window_2
participant_01,      1, day    , Town10HD, -13.055825233459473 , 69.50875091552734  , 0.0018185043008998036, -28.25238800048828 , 69.92350769042969  , 0.001988067524507642   ,         0.534,       0.54 ,           70,         69, None            ,            1.0  , reach_back    ,          1.0  , happy              ,              0.852, fear             ,            0.997, 2026-02-10T16:11:38.598031, 2026-02-10T16:11:40.767880,        5835,      5867, 175.42115100100636, 176.54115100577474, window_1
participant_01,      1, day    , Town10HD, -42.91701126098633  , 95.42168426513672  , 0.0018600462935864925, -42.85920333862305 , 103.77567291259766 , 0.0019169616280123591  ,         0.565,       0.571,           67,         67, None            ,            1.0  , reach_back    ,          1.0  , neutral            ,              0.972, sad              ,            1.0  , 2026-02-10T16:11:45.871752, 2026-02-10T16:11:47.128762,        5943,      5964, 179.20115101709962, 179.93615102022886, window_2
participant_01,      1, day    , Town10HD, 74.92955780029297   , 137.41600036621094 , 0.0018338393419981003, 89.40245819091797  , 129.53872680664062 , 0.0019517516484484076  ,         0.524,       0.58 ,           63,         63, None            ,            1.0  , reach_back    ,          1.0  , happy              ,              0.803, angry            ,            1.0  , 2026-02-10T16:12:06.752575, 2026-02-10T16:12:08.964777,        6270,      6305, 190.64615106582642, 191.87115107104182, window_1
