user_id,run_id,weather,map_name,run_duration_seconds,run_duration_minutes,timestamp_end,hr_baseline,arousal_baseline
participant_01,7,day,Town10HD_Opt,299.088,4.985,2026-03-05T10:34:59.088125,68,0.412
participant_01,8,day,Town10HD_Opt,299.194,4.987,2026-03-05T10:49:59.193665,68,0.473
participant_01,9,day,Town10HD_Opt,299.256,4.988,2026-03-05T11:04:59.256363,68,0.479
participant_01,10,day,Town10HD_Opt,299.088,4.985,2026-03-05T11:19:59.088125,71,0.572
participant_01,1,day,Town10HD_Opt,293.548,4.892,2026-03-05T11:29:08.462577,68,0.411
participant_01,2,day,Town10HD_Opt,294.33,4.906,2026-03-05T11:51:45.202402,67,0.38
participant_02,1,day,Town10HD_Opt,293.007,4.883,2026-03-06T07:14:03.907643,58,0.606
participant_02,2,day,Town10HD_Opt,292.986,4.883,2026-03-06T07:22:14.586298,60,0.455
participant_02,3,day,Town10HD_Opt,164.006,2.733,2026-03-06T07:27:04.115698,58,0.547
participant_02,4,day,Town10HD_Opt,294.332,4.906,2026-03-06T07:34:45.019884,59,0.592
participant_02,8,day,Town10HD_Opt,294.332,4.906,2026-03-06T08:49:54.332257,61,0.471
participant_02,5,day,Town10HD_Opt,293.891,4.898,2026-03-06T08:52:21.588000,61,0.584
participant_02,6,day,Town10HD_Opt,293.933,4.899,2026-03-06T09:02:07.872274,60,0.51
participant_02,9,day,Town10HD_Opt,298.081,4.968,2026-03-06T09:04:58.080694,61,0.624
participant_02,7,day,Town10HD_Opt,294.497,4.908,2026-03-06T09:09:40.647396,61,0.632
participant_02,10,day,Town10HD_Opt,293.891,4.898,2026-03-06T09:19:53.891110,61,0.528
participant_03,2,day,Town10HD_Opt,298.081,4.968,2026-03-10T07:19:58.080694,72,0.453
participant_03,1,day,Town10HD_Opt,298.072,4.968,2026-03-10T07:29:37.027821,73,0.719
participant_03,3,day,Town10HD_Opt,299.088,4.985,2026-03-10T07:34:59.088125,72,0.535
participant_04,1,day,Town10HD_Opt,298.212,4.97,2026-03-10T07:45:08.573771,66,0.689
participant_04,2,day,Town10HD_Opt,294.33,4.906,2026-03-10T07:49:54.330447,67,0.494
participant_03,4,day,Town10HD_Opt,298.212,4.97,2026-03-10T07:49:58.211775,71,0.505
participant_05,1,day,Town10HD_Opt,299.194,4.987,2026-03-10T07:59:58.379423,68,0.755
participant_04,3,day,Town10HD_Opt,151.438,2.524,2026-03-10T08:02:31.437812,68,0.547
participant_05,2,day,Town10HD_Opt,293.891,4.898,2026-03-10T08:04:53.891110,69,0.506
participant_03,5,day,Town10HD_Opt,299.256,4.988,2026-03-10T08:04:59.256363,73,0.475
participant_06,1,day,Town10HD_Opt,298.272,4.971,2026-03-10T08:17:34.987529,83,0.08
participant_03,6,day,Town10HD_Opt,293.007,4.883,2026-03-10T08:19:53.007136,66,0.513
participant_04,4,day,Town10HD_Opt,293.548,4.892,2026-03-10T08:19:53.547516,68,0.51
participant_05,3,day,Town10HD_Opt,298.081,4.968,2026-03-10T08:19:58.080694,70,0.503
participant_04,5,day,Town10HD_Opt,239.086,3.985,2026-03-10T08:33:59.086072,67,0.495
participant_05,4,day,Town10HD_Opt,293.007,4.883,2026-03-10T08:34:53.007136,68,0.517
participant_03,7,day,Town10HD_Opt,299.256,4.988,2026-03-10T08:34:59.256363,73,0.514
participant_06,4,day,Town10HD_Opt,239.086,3.985,2026-03-10T08:48:59.086072,84,0.229
